,mu,K,pc,s,beta,u1init,u2init,buinit,r1init,r2init,u1eq,u2eq,bueq,r1eq,r2eq,Weq,time,reached_eq,URstable
0,-2.0,0.0,0.02275013194817921,0.0,0.0,0.05,0.1,0.85,0.05,0.1,0.02224407627779403,0.02224407627779403,0.9555118474444119,0.9999999999999999,0.9999999999999999,1.0227501319481793,500000,True,0.0
1,-0.5,0.0,0.3085375387259869,0.0,0.0,0.05,0.1,0.85,0.05,0.1,0.2357880684312534,0.2357880684312534,0.5284238631374932,0.9999999999999999,0.9999999999999999,1.3085375387259868,500000,True,0.0
2,0.0,0.0,0.5,0.0,0.0,0.05,0.1,0.85,0.05,0.1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9999999999999999,0.9999999999999999,1.5,500000,True,0.0
3,0.5,0.0,0.6914624612740131,0.0,0.0,0.05,0.1,0.85,0.05,0.1,0.40879562928827995,0.40879562928827995,0.18240874142344002,0.9999999999999999,0.9999999999999999,1.6914624612740132,500000,True,0.0
4,1.0,0.0,0.8413447460685429,0.0,0.0,0.05,0.1,0.85,0.05,0.1,0.4569186448463271,0.4569186448463271,0.0861627103073458,0.9999999999999999,0.9999999999999999,1.8413447460685428,500000,True,0.0
5,2.0,0.0,0.9772498680518208,0.0,0.0,0.05,0.1,0.85,0.05,0.1,0.4942470265605341,0.4942470265605341,0.011505946878931824,0.9999999999999999,0.9999999999999999,1.9772498680518207,500000,True,0.0
6,-2.0,0.0,0.02275013194817921,0.0,0.0,0.05,0.1,0.85,0.5,0.3,0.02224407627779403,0.02224407627779403,0.955511847444412,0.9999999999999999,0.9999999999999999,1.022750131948179,500000,True,0.0
7,-0.5,0.0,0.3085375387259869,0.0,0.0,0.05,0.1,0.85,0.5,0.3,0.2357880684312534,0.2357880684312534,0.5284238631374932,0.9999999999999999,0.9999999999999999,1.3085375387259868,500000,True,0.0
8,0.0,0.0,0.5,0.0,0.0,0.05,0.1,0.85,0.5,0.3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9999999999999999,0.9999999999999999,1.5,500000,True,0.0
9,0.5,0.0,0.6914624612740131,0.0,0.0,0.05,0.1,0.85,0.5,0.3,0.40879562928827995,0.40879562928827995,0.18240874142344002,0.9999999999999999,0.9999999999999999,1.6914624612740132,500000,True,0.0
10,1.0,0.0,0.8413447460685429,0.0,0.0,0.05,0.1,0.85,0.5,0.3,0.4569186448463271,0.4569186448463271,0.0861627103073458,0.9999999999999999,0.9999999999999999,1.8413447460685428,500000,True,0.0
11,2.0,0.0,0.9772498680518208,0.0,0.0,0.05,0.1,0.85,0.5,0.3,0.4942470265605341,0.4942470265605341,0.011505946878931824,0.9999999999999999,0.9999999999999999,1.9772498680518207,500000,True,0.0
12,-2.0,0.0,0.02275013194817921,0.0,0.0,0.05,0.1,0.85,0.85,0.9,0.02224407627779403,0.02224407627779403,0.955511847444412,0.9999999999999999,0.9999999999999999,1.022750131948179,500000,True,0.0
13,-0.5,0.0,0.3085375387259869,0.0,0.0,0.05,0.1,0.85,0.85,0.9,0.2357880684312534,0.2357880684312534,0.5284238631374932,0.9999999999999999,0.9999999999999999,1.3085375387259868,500000,True,0.0
14,0.0,0.0,0.5,0.0,0.0,0.05,0.1,0.85,0.85,0.9,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9999999999999999,0.9999999999999999,1.5,500000,True,0.0
15,0.5,0.0,0.6914624612740131,0.0,0.0,0.05,0.1,0.85,0.85,0.9,0.40879562928828,0.40879562928828,0.18240874142344002,0.9999999999999999,0.9999999999999999,1.6914624612740128,500000,True,0.0
16,1.0,0.0,0.8413447460685429,0.0,0.0,0.05,0.1,0.85,0.85,0.9,0.4569186448463271,0.4569186448463271,0.0861627103073458,0.9999999999999999,0.9999999999999999,1.8413447460685428,500000,True,0.0
17,2.0,0.0,0.9772498680518208,0.0,0.0,0.05,0.1,0.85,0.85,0.9,0.4942470265605341,0.4942470265605341,0.011505946878931824,0.9999999999999999,0.9999999999999999,1.9772498680518207,500000,True,0.0
18,-2.0,0.0,0.02275013194817921,0.0,0.0,0.05,0.1,0.85,0.2,0.89,0.02224407627779403,0.02224407627779403,0.955511847444412,0.9999999999999999,0.9999999999999999,1.022750131948179,500000,True,0.0
19,-0.5,0.0,0.3085375387259869,0.0,0.0,0.05,0.1,0.85,0.2,0.89,0.2357880684312534,0.2357880684312534,0.5284238631374932,0.9999999999999999,0.9999999999999999,1.3085375387259868,500000,True,0.0
20,0.0,0.0,0.5,0.0,0.0,0.05,0.1,0.85,0.2,0.89,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9999999999999999,0.9999999999999999,1.5,500000,True,0.0
21,0.5,0.0,0.6914624612740131,0.0,0.0,0.05,0.1,0.85,0.2,0.89,0.40879562928828,0.40879562928828,0.18240874142344002,0.9999999999999999,0.9999999999999999,1.6914624612740128,500000,True,0.0
22,1.0,0.0,0.8413447460685429,0.0,0.0,0.05,0.1,0.85,0.2,0.89,0.4569186448463271,0.4569186448463271,0.0861627103073458,0.9999999999999999,0.9999999999999999,1.8413447460685428,500000,True,0.0
23,2.0,0.0,0.9772498680518208,0.0,0.0,0.05,0.1,0.85,0.2,0.89,0.4942470265605341,0.4942470265605341,0.011505946878931824,0.9999999999999999,0.9999999999999999,1.9772498680518207,500000,True,0.0
24,-2.0,0.0,0.02275013194817921,0.0,0.0,0.05,0.1,0.85,0.9,0.2,0.02224407627779403,0.02224407627779403,0.955511847444412,0.9999999999999999,0.9999999999999999,1.022750131948179,500000,True,0.0
25,-0.5,0.0,0.3085375387259869,0.0,0.0,0.05,0.1,0.85,0.9,0.2,0.2357880684312534,0.2357880684312534,0.5284238631374932,0.9999999999999999,0.9999999999999999,1.3085375387259868,500000,True,0.0
26,0.0,0.0,0.5,0.0,0.0,0.05,0.1,0.85,0.9,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9999999999999999,0.9999999999999999,1.5,500000,True,0.0
27,0.5,0.0,0.6914624612740131,0.0,0.0,0.05,0.1,0.85,0.9,0.2,0.40879562928828,0.40879562928828,0.18240874142344002,0.9999999999999999,0.9999999999999999,1.6914624612740128,500000,True,0.0
28,1.0,0.0,0.8413447460685429,0.0,0.0,0.05,0.1,0.85,0.9,0.2,0.4569186448463271,0.4569186448463271,0.0861627103073458,0.9999999999999999,0.9999999999999999,1.8413447460685428,500000,True,0.0
29,2.0,0.0,0.9772498680518208,0.0,0.0,0.05,0.1,0.85,0.9,0.2,0.4942470265605341,0.4942470265605341,0.011505946878931824,0.9999999999999999,0.9999999999999999,1.9772498680518207,500000,True,0.0
30,-2.0,0.0,0.02275013194817921,0.0,0.0,0.48,0.4,0.12,0.05,0.1,0.02224407627779403,0.02224407627779403,0.9555118474444119,0.9999999999999999,0.9999999999999999,1.0227501319481793,500000,True,0.0
31,-0.5,0.0,0.3085375387259869,0.0,0.0,0.48,0.4,0.12,0.05,0.1,0.2357880684312534,0.2357880684312534,0.5284238631374932,0.9999999999999999,0.9999999999999999,1.3085375387259868,500000,True,0.0
32,0.0,0.0,0.5,0.0,0.0,0.48,0.4,0.12,0.05,0.1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9999999999999999,0.9999999999999999,1.5,500000,True,0.0
33,0.5,0.0,0.6914624612740131,0.0,0.0,0.48,0.4,0.12,0.05,0.1,0.40879562928827995,0.40879562928827995,0.18240874142344002,0.9999999999999999,0.9999999999999999,1.6914624612740132,500000,True,0.0
34,1.0,0.0,0.8413447460685429,0.0,0.0,0.48,0.4,0.12,0.05,0.1,0.4569186448463271,0.4569186448463271,0.0861627103073458,0.9999999999999999,0.9999999999999999,1.8413447460685428,500000,True,0.0
35,2.0,0.0,0.9772498680518208,0.0,0.0,0.48,0.4,0.12,0.05,0.1,0.4942470265605341,0.4942470265605341,0.011505946878931824,0.9999999999999999,0.9999999999999999,1.9772498680518207,500000,True,0.0
36,-2.0,0.0,0.02275013194817921,0.0,0.0,0.48,0.4,0.12,0.5,0.3,0.02224407627779403,0.02224407627779403,0.955511847444412,0.9999999999999999,0.9999999999999999,1.022750131948179,500000,True,0.0
37,-0.5,0.0,0.3085375387259869,0.0,0.0,0.48,0.4,0.12,0.5,0.3,0.2357880684312534,0.2357880684312534,0.5284238631374932,0.9999999999999999,0.9999999999999999,1.3085375387259868,500000,True,0.0
38,0.0,0.0,0.5,0.0,0.0,0.48,0.4,0.12,0.5,0.3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9999999999999999,0.9999999999999999,1.5,500000,True,0.0
39,0.5,0.0,0.6914624612740131,0.0,0.0,0.48,0.4,0.12,0.5,0.3,0.40879562928827995,0.40879562928827995,0.18240874142344002,0.9999999999999999,0.9999999999999999,1.6914624612740132,500000,True,0.0
40,1.0,0.0,0.8413447460685429,0.0,0.0,0.48,0.4,0.12,0.5,0.3,0.4569186448463271,0.4569186448463271,0.0861627103073458,0.9999999999999999,0.9999999999999999,1.8413447460685428,500000,True,0.0
41,2.0,0.0,0.9772498680518208,0.0,0.0,0.48,0.4,0.12,0.5,0.3,0.4942470265605341,0.4942470265605341,0.011505946878931824,0.9999999999999999,0.9999999999999999,1.9772498680518207,500000,True,0.0
42,-2.0,0.0,0.02275013194817921,0.0,0.0,0.48,0.4,0.12,0.85,0.9,0.02224407627779403,0.02224407627779403,0.955511847444412,0.9999999999999999,0.9999999999999999,1.022750131948179,500000,True,0.0
43,-0.5,0.0,0.3085375387259869,0.0,0.0,0.48,0.4,0.12,0.85,0.9,0.2357880684312534,0.2357880684312534,0.5284238631374932,0.9999999999999999,0.9999999999999999,1.3085375387259868,500000,True,0.0
